name,ingredients,diet,is_vegan_friendly,course,flavor_profile,region,prep_time,cook_time,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g,nutrition_source,text
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,False,dessert,sweet,East,45.0,25.0,266.0,2.0,0.8,11.5,0.5,ifct_composition,"Balu shahi (vegetarian) dessert with Maida flour, yogurt, oil, sugar, sweet flavor, East Indian cuisine"
Boondi,"Gram flour, ghee, sugar",vegetarian,False,dessert,sweet,West,80.0,30.0,487.3,7.4,1.8,15.1,5.3,ifct_composition,"Boondi (vegetarian) dessert with Gram flour, ghee, sugar, sweet flavor, West Indian cuisine"
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,False,dessert,sweet,North,15.0,60.0,390.4,1.6,1.5,15.3,1.8,ifct_composition,"Gajar ka halwa (vegetarian) dessert with Carrots, milk, sugar, ghee, cashews, raisins, sweet flavor, North Indian cuisine"
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,False,dessert,sweet,West,15.0,30.0,1167.9,11.5,15.7,20.0,5.2,ifct_composition,"Ghevar (vegetarian) dessert with Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom, sweet flavor, West Indian cuisine"
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,False,dessert,sweet,East,15.0,40.0,423.3,3.2,2.4,15.0,0.7,ifct_composition,"Gulab jamun (vegetarian) dessert with Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water, sweet flavor, East Indian cuisine"
Imarti,"Sugar syrup, lentil flour",vegetarian,True,dessert,sweet,East,10.0,50.0,717.0,12.5,0.5,25.0,5.6,ifct_composition,"Imarti (vegetarian) dessert with Sugar syrup, lentil flour, sweet flavor, East Indian cuisine"
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,False,dessert,sweet,North,10.0,50.0,734.8,5.4,2.4,27.4,9.0,ifct_composition,"Jalebi (vegetarian) dessert with Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom, sweet flavor, North Indian cuisine"
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,False,dessert,sweet,any,10.0,20.0,384.0,2.9,0.9,12.5,7.9,ifct_composition,"Kaju katli (vegetarian) dessert with Cashews, ghee, cardamom, sugar, sweet flavor, any Indian cuisine"
Kalakand,"Milk, cottage cheese, sugar",vegetarian,False,dessert,sweet,East,20.0,30.0,267.0,2.1,3.4,4.6,0.3,ifct_composition,"Kalakand (vegetarian) dessert with Milk, cottage cheese, sugar, sweet flavor, East Indian cuisine"
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,False,dessert,sweet,any,10.0,40.0,833.8,3.7,2.2,36.9,1.9,ifct_composition,"Kheer (vegetarian) dessert with Milk, rice, sugar, dried fruits, sweet flavor, any Indian cuisine"
Laddu,"Gram flour, ghee, sugar",vegetarian,False,dessert,sweet,any,10.0,40.0,487.3,7.4,1.8,15.1,5.3,ifct_composition,"Laddu (vegetarian) dessert with Gram flour, ghee, sugar, sweet flavor, any Indian cuisine"
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,False,dessert,sweet,North,5.0,5.0,774.0,7.7,13.4,7.2,2.8,ifct_composition,"Lassi (vegetarian) dessert with Yogurt, milk, nuts, sugar, sweet flavor, North Indian cuisine"
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,False,dessert,sweet,any,20.0,30.0,903.4,11.8,2.4,32.1,5.5,ifct_composition,"Nankhatai (vegetarian) dessert with Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom, sweet flavor, any Indian cuisine"
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,True,dessert,sweet,North,10.0,30.0,100.7,0.7,0.2,3.6,1.8,ifct_composition,"Petha (vegetarian) dessert with Firm white pumpkin, sugar, kitchen lime, alum powder, sweet flavor, North Indian cuisine"
Phirni,"Rice, sugar, nuts",vegetarian,True,dessert,sweet,East,30.0,20.0,1274.0,10.5,14.6,28.9,4.9,ifct_composition,"Phirni (vegetarian) dessert with Rice, sugar, nuts, sweet flavor, East Indian cuisine"
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,False,dessert,sweet,North,10.0,45.0,930.3,9.2,16.4,7.9,3.8,ifct_composition,"Rabri (vegetarian) dessert with Condensed milk, sugar, spices, nuts, sweet flavor, North Indian cuisine"
Sheera,"Semolina, ghee, nuts, milk",vegetarian,False,dessert,sweet,West,10.0,25.0,1025.5,9.6,12.5,20.0,5.1,ifct_composition,"Sheera (vegetarian) dessert with Semolina, ghee, nuts, milk, sweet flavor, West Indian cuisine"
Singori,"Khoa, coconut, molu leaf",vegetarian,False,dessert,sweet,North,10.0,20.0,1966.5,11.8,41.9,11.6,7.9,ifct_composition,"Singori (vegetarian) dessert with Khoa, coconut, molu leaf, sweet flavor, North Indian cuisine"
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,False,dessert,sweet,North,10.0,60.0,568.0,3.8,1.7,21.9,6.1,ifct_composition,"Sohan halwa (vegetarian) dessert with Corn flour, ghee, dry fruits, sweet flavor, North Indian cuisine"
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,False,dessert,sweet,West,,60.0,595.6,6.8,2.9,16.9,7.8,ifct_composition,"Sohan papdi (vegetarian) dessert with Gram flour, ghee, sugar, milk, cardamom, sweet flavor, West Indian cuisine"
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,False,dessert,sweet,East,10.0,50.0,42.5,0.3,0.1,1.8,0.3,ifct_composition,"Chhena jalebi (vegetarian) dessert with Chhena, sugar, ghee, sweet flavor, East Indian cuisine"
Chhena kheeri,"Chhena, sugar, milk",vegetarian,False,dessert,sweet,East,,60.0,267.0,2.1,3.4,4.6,0.3,ifct_composition,"Chhena kheeri (vegetarian) dessert with Chhena, sugar, milk, sweet flavor, East Indian cuisine"
Chhena poda,"Sugar, chenna cheese",vegetarian,False,dessert,sweet,East,10.0,45.0,85.0,0.6,0.2,3.7,0.7,ifct_composition,"Chhena poda (vegetarian) dessert with Sugar, chenna cheese, sweet flavor, East Indian cuisine"
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,False,dessert,sweet,East,40.0,60.0,1080.2,4.7,16.2,21.2,4.8,ifct_composition,"Cham cham (vegetarian) dessert with Flour, cream, sugar, saffron, lemon juice, coconut flakes, sweet flavor, East Indian cuisine"
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,False,dessert,sweet,East,25.0,60.0,533.7,4.1,3.1,14.3,7.9,ifct_composition,"Kheer sagar (vegetarian) dessert with Chenna, condensed milk, sugar, saffron, cardamom, sweet flavor, East Indian cuisine"
Ledikeni,"Chhena, sugar, ghee",vegetarian,False,dessert,sweet,East,45.0,45.0,42.5,0.3,0.1,1.8,0.3,ifct_composition,"Ledikeni (vegetarian) dessert with Chhena, sugar, ghee, sweet flavor, East Indian cuisine"
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,False,dessert,sweet,North East,20.0,30.0,668.7,4.9,2.5,27.0,1.2,ifct_composition,"Lyangcha (vegetarian) dessert with Flour, fried milk power, sugar syrup, sweet flavor, North East Indian cuisine"
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,False,dessert,sweet,North,10.0,120.0,592.3,4.5,1.7,25.6,0.9,ifct_composition,"Malapua (vegetarian) dessert with Yoghurt, refined flour, ghee, fennel seeds, sweet flavor, North Indian cuisine"
Mihidana,"Besan flour, sugar, ghee",vegetarian,False,dessert,sweet,East,15.0,30.0,487.3,7.4,1.8,15.1,5.3,ifct_composition,"Mihidana (vegetarian) dessert with Besan flour, sugar, ghee, sweet flavor, East Indian cuisine"
Misti doi,"Milk, jaggery",vegetarian,False,dessert,sweet,East,480.0,30.0,964.5,2.8,3.4,44.9,0.0,ifct_composition,"Misti doi (vegetarian) dessert with Milk, jaggery, sweet flavor, East Indian cuisine"
Pantua,"Chhena, sugar, ghee, flour",vegetarian,False,dessert,sweet,East,45.0,45.0,519.0,3.7,0.3,25.2,1.2,ifct_composition,"Pantua (vegetarian) dessert with Chhena, sugar, ghee, flour, sweet flavor, East Indian cuisine"
Pithe,"Rice flour, wheat flour",vegetarian,True,dessert,sweet,North East,15.0,35.0,1410.0,9.0,1.3,63.5,7.4,ifct_composition,"Pithe (vegetarian) dessert with Rice flour, wheat flour, sweet flavor, North East Indian cuisine"
Rasabali,"Chenna, sweetened milk",vegetarian,False,dessert,sweet,East,15.0,30.0,449.0,3.7,6.6,5.5,0.0,ifct_composition,"Rasabali (vegetarian) dessert with Chenna, sweetened milk, sweet flavor, East Indian cuisine"
