exercise_id,name,body_part,equipment,level,type,desc,text
ex_0000,Partner plank band row,Abdominals,Bands,Intermediate,Strength,The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.,Partner plank band row targeting Abdominals using Bands at Intermediate level. The partner plank band row is an abdominal exercise where two partners perform single-arm planks while pulling on the opposite ends of an exercise band. This technique can be done for time or reps in any ab-focused workout.
ex_0001,Banded crunch isometric hold,Abdominals,Bands,Intermediate,Strength,"The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.","Banded crunch isometric hold targeting Abdominals using Bands at Intermediate level. The banded crunch isometric hold is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise."
ex_0002,FYR Banded Plank Jack,Abdominals,Bands,Intermediate,Strength,"The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up.","FYR Banded Plank Jack targeting Abdominals using Bands at Intermediate level. The banded plank jack is a variation on the plank that involves moving the legs in and out for repetitions. Having a band around the thighs forces the lower body to work harder, particularly the hips and glutes. The plank jack is commonly performed as part of a bodyweight circuit, or as part of a dynamic warm-up."
ex_0003,Banded crunch,Abdominals,Bands,Intermediate,Strength,"The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise.","Banded crunch targeting Abdominals using Bands at Intermediate level. The banded crunch is an exercise targeting the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. The band adds resistance and continuous tension to this popular exercise."
ex_0004,Crunch,Abdominals,Bands,Intermediate,Strength,"The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout.","Crunch targeting Abdominals using Bands at Intermediate level. The crunch is a popular core exercise targeting the rectus abdominis, or ""six-pack"" muscles, as well as the obliques. It has been the centerpiece of many ab-focused workouts, due to both its simplicity and the intense burn and mind-muscle connection it produces. It can be performed for time or reps as part of the ab-focused portion of any workout."
ex_0005,Decline band press sit-up,Abdominals,Bands,Intermediate,Strength,"The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Decline band press sit-up targeting Abdominals using Bands at Intermediate level. The decline band press sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. It also taxes the muscles of the shoulders and upper back. Sit-up variations with added resistance are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
ex_0006,FYR2 Banded Frog Pump,Abdominals,Bands,Intermediate,Strength,FYR2 Banded Frog Pump is a intermediate-level strength exercise targeting abdominals.,FYR2 Banded Frog Pump targeting Abdominals using Bands at Intermediate level. FYR2 Banded Frog Pump is a intermediate-level strength exercise targeting abdominals.
ex_0007,Band low-to-high twist,Abdominals,Bands,Intermediate,Strength,"The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout.","Band low-to-high twist targeting Abdominals using Bands at Intermediate level. The band low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as rapid, uncontrolled twisting can injure the spine. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
ex_0008,Barbell roll-out,Abdominals,Barbell,Intermediate,Strength,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Barbell roll-out targeting Abdominals using Barbell at Intermediate level. The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
ex_0009,Barbell Ab Rollout - On Knees,Abdominals,Barbell,Intermediate,Strength,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Barbell Ab Rollout - On Knees targeting Abdominals using Barbell at Intermediate level. The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
ex_0010,Decline bar press sit-up,Abdominals,Barbell,Intermediate,Strength,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Decline bar press sit-up targeting Abdominals using Barbell at Intermediate level. The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
ex_0011,Bench barbell roll-out,Abdominals,Barbell,Beginner,Strength,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body.","Bench barbell roll-out targeting Abdominals using Barbell at Beginner level. The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body."
ex_0012,Barbell Side Bend,Abdominals,Barbell,Beginner,Strength,Barbell Side Bend is a beginner-level strength exercise targeting abdominals.,Barbell Side Bend targeting Abdominals using Barbell at Beginner level. Barbell Side Bend is a beginner-level strength exercise targeting abdominals.
ex_0013,Seated bar twist,Abdominals,Barbell,Intermediate,Strength,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency.","Seated bar twist targeting Abdominals using Barbell at Intermediate level. The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency."
ex_0014,Single-arm landmine pull and press,Abdominals,Barbell,Intermediate,Strength,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight.","Single-arm landmine pull and press targeting Abdominals using Barbell at Intermediate level. The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight."
ex_0015,Barbell Ab Roll Out - Gethin Variation,Abdominals,Barbell,Intermediate,Strength,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","Barbell Ab Roll Out - Gethin Variation targeting Abdominals using Barbell at Intermediate level. The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
ex_0016,30 Barbell Floor Wiper,Abdominals,Barbell,Intermediate,Strength,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles.","30 Barbell Floor Wiper targeting Abdominals using Barbell at Intermediate level. The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles."
ex_0017,30 Barbell Roll-Out,Abdominals,Barbell,Intermediate,Strength,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core.","30 Barbell Roll-Out targeting Abdominals using Barbell at Intermediate level. The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
ex_0018,Decline plate sit-up,Abdominals,Barbell,Intermediate,Strength,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout.","Decline plate sit-up targeting Abdominals using Barbell at Intermediate level. The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
ex_0019,KV Barbell Hip Thrust,Abdominals,Barbell,Intermediate,Strength,KV Barbell Hip Thrust is a intermediate-level strength exercise targeting abdominals.,KV Barbell Hip Thrust targeting Abdominals using Barbell at Intermediate level. KV Barbell Hip Thrust is a intermediate-level strength exercise targeting abdominals.
